sow_id,lactation_day,daily_feed_intake,daily_feed_intake_lbs,Parity,Room,Location,T'd Off Nbr Days,Farrowing,Schedule,Feed,lactationDate,temperature,dew_point,Hours_T2M_GT_24
183553,2,2.90,6.39,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/2/2024,25.08,17.79,6
183553,3,3.17,6.98,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/3/2024,28.42,22.85,9
183553,4,4.63,10.21,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/4/2024,25.34,21.69,9
183553,5,3.71,8.1781,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/5/2024,26.32,18.23,8
183553,6,5.46,12.04,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/6/2024,24.71,17.52,5
183553,7,4.34,9.56,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/7/2024,26.48,16.81,8
183553,8,5.48,12.08,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/8/2024,26.47,19.02,8
183553,9,5.12,11.29,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/9/2024,26.34,13.07,8
183553,10,7.43,16.39,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/10/2024,22.31,12.06,0
183553,11,7.72,17.01,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/11/2024,27.51,19.82,8
183553,12,8.48,18.7,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/12/2024,30.9,22.31,11
183553,13,6.97,15.36,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/13/2024,32.09,23.82,13
183553,14,7.06,15.57,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/14/2024,28.4,16.98,11
183553,15,8.28,18.25,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/15/2024,29.09,18.41,10
183553,16,8.15,17.97,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/16/2024,31.36,22.33,15
183553,17,7.48,16.48,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/17/2024,31.14,23.95,18
183553,18,8.09,17.84,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/18/2024,31.94,22.8,16
183553,19,7.80,17.19,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/19/2024,25.65,22.42,5
183553,20,7.02,15.48,P1,Room 6,6-A10,19,5/31/2024,30 min,Lactation,6/20/2024,30.43,23.2,14
153988,2,3.81,8.39,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/2/2024,25.08,17.79,6
153988,3,5.11,11.27,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/3/2024,28.42,22.85,9
153988,4,5.81,12.81,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/4/2024,25.34,21.69,9
153988,5,5.06,11.15,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/5/2024,26.32,18.23,8
153988,6,5.52,12.18,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/6/2024,24.71,17.52,5
153988,7,7.37,16.25,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/7/2024,26.48,16.81,8
153988,8,8.17,18.01,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/8/2024,26.47,19.02,8
153988,9,7.31,16.12,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/9/2024,26.34,13.07,8
153988,10,8.05,17.74,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/10/2024,22.31,12.06,0
153988,11,10.29,22.69,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/11/2024,27.51,19.82,8
153988,12,9.69,21.37,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/12/2024,30.9,22.31,11
153988,13,9.42,20.76,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/13/2024,32.09,23.82,13
153988,14,9.57,21.09,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/14/2024,28.4,16.98,11
153988,15,10.91,24.06,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/15/2024,29.09,18.41,10
153988,16,8.78,19.35,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/16/2024,31.36,22.33,15
153988,17,10.94,24.11,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/17/2024,31.14,23.95,18
153988,18,10.19,22.47,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/18/2024,31.94,22.8,16
153988,19,7.66,16.89,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/19/2024,25.65,22.42,5
153988,20,10.01,22.06,P3+,Room 6,6-A11,19,5/31/2024,30 min,Multiple,6/20/2024,30.43,23.2,14
152775,2,4.02,8.87,P3+,Room 6,6-A12,19,5/31/2024,30 min,Multiple,6/2/2024,25.08,17.79,6
152775,3,4.81,10.6,P3+,Room 6,6-A12,19,5/31/2024,30 min,Multiple,6/3/2024,28.42,22.85,9
152775,4,3.92,8.64,P3+,Room 6,6-A12,19,5/31/2024,30 min,Multiple,6/4/2024,25.34,21.69,9
152775,5,4.27,9.42,P3+,Room 6,6-A12,19,5/31/2024,30 min,Multiple,6/5/2024,26.32,18.23,8
152775,6,3.37,7.42,P3+,Room 6,6-A12,19,5/31/2024,30 min,Multiple,6/6/2024,24.71,17.52,5
152775,7,5.19,11.45,P3+,Room 6,6-A12,19,5/31/2024,30 min,Multiple,6/7/2024,26.48,16.81,8
152775,8,4.59,10.11,P3+,Room 6,6-A12,19,5/31/2024,30 min,Multiple,6/8/2024,26.47,19.02,8
